Timestamp,A7_Volt,A7_Amp,A7_Watt,A15_Volt,A15_Amp,A15_Watt,GPU_Volt,GPU_Amp,GPU_Watt,Mem_Volt,Mem_Amp,Mem_Watt,CPU0_Freq,CPU1_Freq,CPU2_Freq,CPU3_Freq,CPU4_Freq,CPU5_Freq,CPU6_Freq,CPU7_Freq,GPU_Freq,CPU4_Temp,CPU5_Temp,CPU6_Temp,CPU7_Temp,GPU_Temp,CPU0_USG,CPU1_USG,CPU2_USG,CPU3_USG,CPU4_USG,CPU5_USG,CPU6_USG,CPU7_USG,Fan_Speed_%
1466088155,1.237500,0.116266,0.143492,1.285000,0.873512,1.121805,0.993750,0.107768,0.106251,1.216250,0.016016,0.019456,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,7,7,7,7,25,20,13,15,0
1466088156,1.237500,0.114009,0.141018,1.285000,0.871594,1.119235,0.993750,0.107464,0.106251,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,60,56,1,0,0,0,0,0,0,0,0
1466088157,1.237500,0.113521,0.139781,1.285000,0.870224,1.117950,0.993750,0.107312,0.106251,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,60,56,0,0,0,0,0,0,0,0,0
1466088158,1.237500,0.113765,0.139781,1.286250,0.872416,1.121392,0.993750,0.107312,0.106251,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,60,56,1,0,0,0,0,0,0,0,0
1466088159,1.237500,0.113521,0.139781,1.285000,0.870498,1.117950,0.993750,0.107008,0.106251,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,60,56,0,0,0,0,0,0,0,0,0
1466088160,1.237500,0.114253,0.141018,1.285000,0.871320,1.119235,0.993750,0.107312,0.106251,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,60,56,1,0,0,0,0,0,0,0,0
1466088161,1.237500,0.114741,0.141018,1.285000,0.871320,1.119235,0.993750,0.107312,0.106251,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,60,56,0,0,0,0,0,0,0,0,0
1466088162,1.237500,0.114253,0.141018,1.285000,0.870498,1.117950,0.992500,0.107008,0.106144,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466088163,1.237500,0.113521,0.139781,1.285000,0.869676,1.116665,0.993750,0.107008,0.106251,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,58,63,61,56,0,0,0,0,0,0,0,0,0
1466088164,1.237500,0.113216,0.139781,1.285000,0.870498,1.117950,0.993750,0.107464,0.106251,1.216250,0.016016,0.019456,1400,1400,1400,1400,2000,2000,2000,2000,600,66,58,68,61,56,1,0,0,0,1,0,2,0,0
1466088165,1.236250,0.125233,0.154500,1.298750,3.140314,4.075720,0.995000,0.111720,0.110445,1.222500,0.182273,0.222404,1400,1400,1400,1400,2000,2000,2000,2000,600,79,67,83,76,61,0,0,0,0,94,0,90,0,0
1466088166,1.236250,0.144021,0.177984,1.303750,4.209736,5.484327,0.995000,0.120992,0.119400,1.223750,0.220948,0.269060,1400,1400,1400,1400,2000,2000,2000,2000,600,84,72,89,83,65,1,0,0,0,99,0,100,0,90
1466088167,1.235000,0.152012,0.187720,1.305000,4.335502,5.657175,0.995000,0.129200,0.128355,1.222500,0.222222,0.271284,1400,1400,1400,1400,2000,2000,2000,2000,600,88,75,93,87,68,0,0,0,0,100,0,100,0,90
1466088168,1.235000,0.159759,0.196365,1.306250,4.434690,5.790804,0.995000,0.134520,0.133330,1.222500,0.222222,0.271284,1400,1400,1400,1400,2000,2000,2000,2000,600,89,77,95,89,70,1,0,0,0,99,0,100,0,90
1466088169,1.236250,0.136518,0.168096,1.286250,1.075724,1.382450,0.993750,0.133304,0.132069,1.216250,0.017290,0.020672,1400,1400,1400,1400,2000,2000,2000,2000,600,73,68,75,73,65,0,0,0,0,6,0,6,0,90
1466088170,1.237500,0.129259,0.159573,1.286250,0.977906,1.256422,0.993750,0.125704,0.124125,1.216250,0.016471,0.019456,1400,1400,1400,1400,2000,2000,2000,2000,600,69,65,71,69,63,1,0,0,0,0,0,0,0,90
1466088171,1.237500,0.123769,0.152151,1.286250,0.940642,1.208840,0.993750,0.120536,0.119160,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,67,63,69,67,61,0,0,0,0,0,0,0,0,90
1466088172,1.237500,0.121512,0.149677,1.286250,0.927490,1.192122,0.993750,0.117192,0.116181,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,66,62,68,65,60,1,0,0,0,1,0,0,0,90
1466088173,1.237500,0.119255,0.147203,1.286250,0.911324,1.171546,0.993750,0.114760,0.113202,1.216250,0.015743,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,65,61,66,64,59,0,0,0,0,0,0,0,0,90
1466088174,1.23
