Timestamp,A7_Volt,A7_Amp,A7_Watt,A15_Volt,A15_Amp,A15_Watt,GPU_Volt,GPU_Amp,GPU_Watt,Mem_Volt,Mem_Amp,Mem_Watt,CPU0_Freq,CPU1_Freq,CPU2_Freq,CPU3_Freq,CPU4_Freq,CPU5_Freq,CPU6_Freq,CPU7_Freq,GPU_Freq,CPU4_Temp,CPU5_Temp,CPU6_Temp,CPU7_Temp,GPU_Temp,CPU0_USG,CPU1_USG,CPU2_USG,CPU3_USG,CPU4_USG,CPU5_USG,CPU6_USG,CPU7_USG,Fan_Speed_%
1466085473,1.237500,0.113216,0.139781,1.285000,0.864470,1.110240,0.993750,0.105792,0.104265,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,57,62,60,55,3,3,3,3,8,10,5,8,0
1466085474,1.237500,0.112484,0.138544,1.285000,0.862278,1.107670,0.993750,0.105488,0.104265,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,57,62,59,55,0,0,0,0,0,0,0,0,0
1466085475,1.237500,0.112484,0.138544,1.285000,0.858716,1.102530,0.992500,0.104728,0.103168,1.216250,0.017290,0.020672,1400,1400,1400,1400,2000,2000,2000,2000,600,61,57,62,59,55,0,0,0,0,0,0,0,0,0
1466085476,1.237500,0.111264,0.137307,1.285000,0.857894,1.101245,0.992500,0.104728,0.103168,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,56,62,59,55,0,0,0,0,0,0,0,0,0
1466085477,1.237500,0.111752,0.137307,1.285000,0.885842,1.137225,0.992500,0.104424,0.103168,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,57,62,59,55,0,0,0,0,0,0,0,0,0
1466085478,1.237500,0.111752,0.137307,1.285000,0.857072,1.101245,0.992500,0.104272,0.103168,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,56,62,59,55,0,0,0,0,0,0,0,0,0
1466085479,1.237500,0.111752,0.137307,1.283750,0.855428,1.096965,0.992500,0.104272,0.103168,1.216250,0.015015,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,61,56,62,59,55,0,0,0,0,0,0,0,0,0
1466085480,1.237500,0.112484,0.138544,1.285000,0.855428,1.098675,0.992500,0.104424,0.103168,1.216250,0.015288,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,60,56,62,59,55,0,0,0,0,0,0,0,0,0
1466085481,1.237500,0.114009,0.141018,1.285000,0.856524,1.099960,0.992500,0.103968,0.102176,1.216250,0.017017,0.020672,1400,1400,1400,1400,2000,2000,2000,2000,600,60,56,62,59,55,0,0,0,0,0,0,0,0,0
1466085482,1.237500,0.112484,0.138544,1.285000,0.855702,1.098675,0.992500,0.103968,0.102176,1.216250,0.015470,0.018240,1400,1400,1400,1400,2000,2000,2000,2000,600,62,57,64,61,55,0,0,0,0,0,0,0,0,0
1466085483,1.236250,0.134261,0.165624,1.306250,4.660466,6.085960,0.993750,0.108680,0.107244,1.220000,0.260988,0.317200,1400,1400,1400,1400,2000,2000,2000,2000,600,79,73,84,83,62,0,0,0,0,95,95,95,95,0
1466085484,1.236250,0.147498,0.181692,1.308750,4.947618,6.470676,0.993750,0.120232,0.119160,1.220000,0.328510,0.400160,1400,1400,1400,1400,2000,2000,2000,2000,600,85,78,90,90,66,0,0,0,0,100,98,100,99,90
1466085485,1.235000,0.156221,0.192660,1.310000,5.053656,6.619430,0.993750,0.130264,0.129090,1.220000,0.339703,0.413580,1400,1400,1400,1400,2000,2000,2000,2000,600,88,82,94,95,69,1,0,0,0,100,100,100,100,90
1466085486,1.235000,0.163480,0.201305,1.260000,4.602104,5.798520,0.993750,0.136496,0.135048,1.220000,0.324506,0.395280,1400,1400,1400,1400,2000,2000,2000,2000,600,86,81,92,92,71,0,0,0,0,100,99,99,100,90
